"vertex","cluster","color"
7915,1406,"#7AA6DCFF"
7916,182,"#868686FF"
7917,445,"#EFC000FF"
7918,1406,"#7AA6DCFF"
7919,445,"#EFC000FF"
7920,116,"#0073C2FF"
7921,116,"#0073C2FF"
7922,116,"#0073C2FF"
7927,182,"#868686FF"
967,165,"#CD534CFF"
7941,116,"#0073C2FF"
7943,533,"#8F7700FF"
7944,116,"#0073C2FF"
7947,445,"#EFC000FF"
7953,603,"white"
7955,751,"white"
7956,116,"#0073C2FF"
7957,848,"white"
1832,116,"#0073C2FF"
2341,1406,"#7AA6DCFF"
2342,116,"#0073C2FF"
8023,445,"#EFC000FF"
8025,394,"white"
8024,445,"#EFC000FF"
8026,445,"#EFC000FF"
8027,116,"#0073C2FF"
8028,116,"#0073C2FF"
8029,165,"#CD534CFF"
8031,445,"#EFC000FF"
8032,116,"#0073C2FF"
2343,1406,"#7AA6DCFF"
8033,138,"#A73030FF"
8034,165,"#CD534CFF"
8035,445,"#EFC000FF"
2345,1406,"#7AA6DCFF"
8037,591,"white"
8038,445,"#EFC000FF"
8039,165,"#CD534CFF"
8042,533,"#8F7700FF"
2346,584,"#3B3B3BFF"
8043,116,"#0073C2FF"
8044,165,"#CD534CFF"
8045,182,"#868686FF"
8046,1343,"white"
8048,116,"#0073C2FF"
8050,445,"#EFC000FF"
8052,604,"white"
8077,116,"#0073C2FF"
2347,1406,"#7AA6DCFF"
2348,445,"#EFC000FF"
8080,445,"#EFC000FF"
8081,116,"#0073C2FF"
8082,533,"#8F7700FF"
8083,1406,"#7AA6DCFF"
8084,116,"#0073C2FF"
8085,116,"#0073C2FF"
8086,182,"#868686FF"
8087,445,"#EFC000FF"
8088,533,"#8F7700FF"
755,488,"#003C67FF"
8090,116,"#0073C2FF"
8094,165,"#CD534CFF"
8097,445,"#EFC000FF"
8098,1406,"#7AA6DCFF"
8100,445,"#EFC000FF"
8102,605,"white"
8104,533,"#8F7700FF"
8115,606,"white"
8117,182,"#868686FF"
8118,182,"#868686FF"
8120,445,"#EFC000FF"
8121,445,"#EFC000FF"
8123,116,"#0073C2FF"
8124,445,"#EFC000FF"
8126,165,"#CD534CFF"
8127,607,"white"
8129,488,"#003C67FF"
8131,488,"#003C67FF"
8132,533,"#8F7700FF"
8133,165,"#CD534CFF"
8137,116,"#0073C2FF"
8138,116,"#0073C2FF"
8139,116,"#0073C2FF"
8140,116,"#0073C2FF"
7948,215,"#4A6990FF"
8193,445,"#EFC000FF"
8194,445,"#EFC000FF"
8198,488,"#003C67FF"
8199,445,"#EFC000FF"
8202,116,"#0073C2FF"
8204,445,"#EFC000FF"
8205,608,"white"
1312,165,"#CD534CFF"
8330,116,"#0073C2FF"
8333,445,"#EFC000FF"
8334,116,"#0073C2FF"
8335,445,"#EFC000FF"
8336,609,"white"
8338,445,"#EFC000FF"
8343,1406,"#7AA6DCFF"
8344,165,"#CD534CFF"
8346,116,"#0073C2FF"
8348,182,"#868686FF"
8350,445,"#EFC000FF"
8353,445,"#EFC000FF"
8355,838,"white"
8357,1343,"white"
8360,838,"white"
1263,445,"#EFC000FF"
8364,710,"white"
8366,116,"#0073C2FF"
8367,116,"#0073C2FF"
8368,445,"#EFC000FF"
8369,488,"#003C67FF"
8370,610,"white"
8372,848,"white"
8373,445,"#EFC000FF"
8374,445,"#EFC000FF"
8375,445,"#EFC000FF"
8377,116,"#0073C2FF"
8378,838,"white"
8383,445,"#EFC000FF"
8385,165,"#CD534CFF"
2357,488,"#003C67FF"
8387,445,"#EFC000FF"
2358,1406,"#7AA6DCFF"
8388,445,"#EFC000FF"
8390,488,"#003C67FF"
8394,445,"#EFC000FF"
8439,533,"#8F7700FF"
8441,584,"#3B3B3BFF"
2050,445,"#EFC000FF"
8447,116,"#0073C2FF"
8448,584,"#3B3B3BFF"
8450,165,"#CD534CFF"
8452,182,"#868686FF"
8453,445,"#EFC000FF"
8456,445,"#EFC000FF"
26,1406,"#7AA6DCFF"
8477,533,"#8F7700FF"
8480,584,"#3B3B3BFF"
8481,445,"#EFC000FF"
968,445,"#EFC000FF"
8493,165,"#CD534CFF"
8494,445,"#EFC000FF"
8495,533,"#8F7700FF"
8496,3,"white"
8497,488,"#003C67FF"
8499,138,"#A73030FF"
8501,533,"#8F7700FF"
8502,533,"#8F7700FF"
8506,488,"#003C67FF"
8507,165,"#CD534CFF"
8508,533,"#8F7700FF"
2324,116,"#0073C2FF"
8520,445,"#EFC000FF"
8521,182,"#868686FF"
8524,488,"#003C67FF"
8526,488,"#003C67FF"
8528,533,"#8F7700FF"
8529,182,"#868686FF"
8530,533,"#8F7700FF"
8531,445,"#EFC000FF"
8532,445,"#EFC000FF"
2051,445,"#EFC000FF"
8542,611,"white"
8544,445,"#EFC000FF"
8545,445,"#EFC000FF"
8596,116,"#0073C2FF"
8597,265,"white"
8599,445,"#EFC000FF"
8395,445,"#EFC000FF"
8600,584,"#3B3B3BFF"
8601,116,"#0073C2FF"
8602,116,"#0073C2FF"
8603,612,"white"
8606,116,"#0073C2FF"
8607,1578,"white"
8609,445,"#EFC000FF"
2362,1406,"#7AA6DCFF"
8610,671,"white"
8611,116,"#0073C2FF"
2363,1406,"#7AA6DCFF"
8614,445,"#EFC000FF"
8616,445,"#EFC000FF"
1306,671,"white"
8672,488,"#003C67FF"
8679,165,"#CD534CFF"
8685,4,"white"
8686,182,"#868686FF"
8688,116,"#0073C2FF"
8689,182,"#868686FF"
8690,182,"#868686FF"
2364,1406,"#7AA6DCFF"
8696,445,"#EFC000FF"
503,445,"#EFC000FF"
9144,165,"#CD534CFF"
8460,1406,"#7AA6DCFF"
9146,5,"white"
2366,1406,"#7AA6DCFF"
9152,613,"white"
9157,116,"#0073C2FF"
9158,577,"white"
9159,445,"#EFC000FF"
9160,488,"#003C67FF"
2367,1406,"#7AA6DCFF"
9163,445,"#EFC000FF"
2368,445,"#EFC000FF"
9164,445,"#EFC000FF"
9181,116,"#0073C2FF"
9183,116,"#0073C2FF"
538,116,"#0073C2FF"
9186,116,"#0073C2FF"
9187,533,"#8F7700FF"
9188,445,"#EFC000FF"
9192,445,"#EFC000FF"
9193,445,"#EFC000FF"
9195,182,"#868686FF"
8461,445,"#EFC000FF"
9196,614,"white"
9198,533,"#8F7700FF"
2370,116,"#0073C2FF"
9219,533,"#8F7700FF"
9220,445,"#EFC000FF"
9221,615,"white"
9225,138,"#A73030FF"
9226,445,"#EFC000FF"
9227,165,"#CD534CFF"
9230,445,"#EFC000FF"
9231,445,"#EFC000FF"
9232,445,"#EFC000FF"
9233,165,"#CD534CFF"
9235,616,"white"
9237,165,"#CD534CFF"
9238,32,"white"
9239,116,"#0073C2FF"
9241,445,"#EFC000FF"
9242,445,"#EFC000FF"
9250,445,"#EFC000FF"
364,165,"#CD534CFF"
2373,533,"#8F7700FF"
9825,165,"#CD534CFF"
9837,445,"#EFC000FF"
9838,116,"#0073C2FF"
9840,445,"#EFC000FF"
381,445,"#EFC000FF"
8379,838,"white"
10196,620,"white"
10204,165,"#CD534CFF"
10205,621,"white"
10207,848,"white"
10210,445,"#EFC000FF"
10211,116,"#0073C2FF"
10212,533,"#8F7700FF"
114,445,"#EFC000FF"
10244,116,"#0073C2FF"
10245,622,"white"
10247,116,"#0073C2FF"
10208,848,"white"
2374,1406,"#7AA6DCFF"
10252,623,"white"
10254,488,"#003C67FF"
10259,182,"#868686FF"
9252,165,"#CD534CFF"
10284,1406,"#7AA6DCFF"
10285,165,"#CD534CFF"
10286,116,"#0073C2FF"
10287,445,"#EFC000FF"
10291,445,"#EFC000FF"
10292,165,"#CD534CFF"
10293,138,"#A73030FF"
10295,1406,"#7AA6DCFF"
10297,1406,"#7AA6DCFF"
10308,624,"white"
10310,116,"#0073C2FF"
8710,445,"#EFC000FF"
10312,116,"#0073C2FF"
658,165,"#CD534CFF"
10345,116,"#0073C2FF"
10347,445,"#EFC000FF"
10349,445,"#EFC000FF"
10350,116,"#0073C2FF"
10351,584,"#3B3B3BFF"
10352,625,"white"
10354,116,"#0073C2FF"
10355,626,"white"
10357,445,"#EFC000FF"
10358,627,"white"
1308,1406,"#7AA6DCFF"
10440,116,"#0073C2FF"
10442,445,"#EFC000FF"
10443,488,"#003C67FF"
10445,390,"white"
10448,165,"#CD534CFF"
10452,182,"#868686FF"
10453,116,"#0073C2FF"
10454,628,"white"
10456,445,"#EFC000FF"
