"vertex","cluster","color"
7321,977,"#0073C2FF"
79699,2722,"white"
29703,903,"#868686FF"
8684,977,"#0073C2FF"
21795,418,"#EFC000FF"
79703,903,"#868686FF"
72942,1789,"#003C67FF"
79704,977,"#0073C2FF"
79705,1980,"white"
79706,977,"#0073C2FF"
45467,1185,"#4A6990FF"
79708,977,"#0073C2FF"
70864,977,"#0073C2FF"
21796,418,"#EFC000FF"
79709,977,"#0073C2FF"
79710,1750,"#7AA6DCFF"
79711,977,"#0073C2FF"
48843,1789,"#003C67FF"
79712,1346,"#8F7700FF"
13899,977,"#0073C2FF"
10386,418,"#EFC000FF"
79713,977,"#0073C2FF"
79714,1320,"white"
11605,977,"#0073C2FF"
70865,977,"#0073C2FF"
78303,1789,"#003C67FF"
26923,1306,"#CD534CFF"
76057,977,"#0073C2FF"
79716,1789,"#003C67FF"
79717,977,"#0073C2FF"
79718,977,"#0073C2FF"
79719,3255,"white"
79721,1750,"#7AA6DCFF"
3334,903,"#868686FF"
30731,1750,"#7AA6DCFF"
79722,977,"#0073C2FF"
79723,977,"#0073C2FF"
79724,977,"#0073C2FF"
4572,1407,"#3B3B3BFF"
79728,1750,"#7AA6DCFF"
1173,903,"#868686FF"
14896,1346,"#8F7700FF"
79729,977,"#0073C2FF"
79730,903,"#868686FF"
79731,1750,"#7AA6DCFF"
21798,418,"#EFC000FF"
79732,977,"#0073C2FF"
49910,1306,"#CD534CFF"
31901,418,"#EFC000FF"
79733,977,"#0073C2FF"
10387,977,"#0073C2FF"
79735,977,"#0073C2FF"
21799,418,"#EFC000FF"
64914,1306,"#CD534CFF"
79736,1750,"#7AA6DCFF"
20597,418,"#EFC000FF"
79738,977,"#0073C2FF"
79739,977,"#0073C2FF"
79740,977,"#0073C2FF"
79741,1306,"#CD534CFF"
79742,1185,"#4A6990FF"
79743,977,"#0073C2FF"
79744,1789,"#003C67FF"
79745,903,"#868686FF"
55366,1185,"#4A6990FF"
79749,977,"#0073C2FF"
28342,977,"#0073C2FF"
13644,2875,"white"
13366,977,"#0073C2FF"
79750,977,"#0073C2FF"
79751,1346,"#8F7700FF"
31653,977,"#0073C2FF"
79752,2723,"white"
79754,1789,"#003C67FF"
27599,1532,"white"
15119,977,"#0073C2FF"
41587,903,"#868686FF"
79755,977,"#0073C2FF"
79756,1587,"white"
74418,903,"#868686FF"
34049,265,"white"
17497,977,"#0073C2FF"
18415,1789,"#003C67FF"
73451,1750,"#7AA6DCFF"
79758,1306,"#CD534CFF"
79759,1407,"#3B3B3BFF"
79760,977,"#0073C2FF"
44112,1789,"#003C67FF"
8685,977,"#0073C2FF"
5951,977,"#0073C2FF"
67106,977,"#0073C2FF"
6812,1306,"#CD534CFF"
79762,977,"#0073C2FF"
44693,903,"#868686FF"
33393,977,"#0073C2FF"
79764,1884,"white"
73039,1185,"#4A6990FF"
79765,418,"#EFC000FF"
79766,3163,"white"
79767,977,"#0073C2FF"
11606,977,"#0073C2FF"
43043,1789,"#003C67FF"
70866,977,"#0073C2FF"
79773,585,"white"
79775,1750,"#7AA6DCFF"
21801,418,"#EFC000FF"
79776,1750,"#7AA6DCFF"
67107,977,"#0073C2FF"
79777,977,"#0073C2FF"
4573,903,"#868686FF"
79778,977,"#0073C2FF"
21802,265,"white"
4574,1407,"#3B3B3BFF"
79779,977,"#0073C2FF"
79780,1789,"#003C67FF"
79781,1306,"#CD534CFF"
79782,977,"#0073C2FF"
79783,1789,"#003C67FF"
79784,1306,"#CD534CFF"
49546,1076,"white"
79785,2724,"white"
36749,903,"#868686FF"
79787,281,"white"
79788,977,"#0073C2FF"
45834,1407,"#3B3B3BFF"
79789,977,"#0073C2FF"
79790,418,"#EFC000FF"
73802,977,"#0073C2FF"
79791,977,"#0073C2FF"
79792,977,"#0073C2FF"
29216,1789,"#003C67FF"
79793,977,"#0073C2FF"
52758,977,"#0073C2FF"
79794,977,"#0073C2FF"
245,977,"#0073C2FF"
79795,1750,"#7AA6DCFF"
57687,998,"white"
79799,977,"#0073C2FF"
21803,418,"#EFC000FF"
33835,1750,"#7AA6DCFF"
15706,977,"#0073C2FF"
42330,265,"white"
79800,977,"#0073C2FF"
3335,903,"#868686FF"
79801,1750,"#7AA6DCFF"
79802,977,"#0073C2FF"
57691,977,"#0073C2FF"
57692,418,"#EFC000FF"
28343,977,"#0073C2FF"
36750,903,"#868686FF"
8686,977,"#0073C2FF"
75095,418,"#EFC000FF"
79803,1692,"white"
20821,977,"#0073C2FF"
79536,418,"#EFC000FF"
79805,977,"#0073C2FF"
4576,977,"#0073C2FF"
79806,977,"#0073C2FF"
79807,1346,"#8F7700FF"
7322,977,"#0073C2FF"
79808,1750,"#7AA6DCFF"
79809,977,"#0073C2FF"
79810,1750,"#7AA6DCFF"
79811,977,"#0073C2FF"
79812,977,"#0073C2FF"
78680,977,"#0073C2FF"
79813,977,"#0073C2FF"
14513,1789,"#003C67FF"
79819,526,"white"
79821,977,"#0073C2FF"
21804,418,"#EFC000FF"
27252,903,"#868686FF"
8021,977,"#0073C2FF"
44113,1789,"#003C67FF"
79826,977,"#0073C2FF"
79827,977,"#0073C2FF"
41796,977,"#0073C2FF"
79828,977,"#0073C2FF"
79829,977,"#0073C2FF"
41797,977,"#0073C2FF"
79830,977,"#0073C2FF"
79831,282,"white"
18172,1789,"#003C67FF"
367,977,"#0073C2FF"
79832,977,"#0073C2FF"
29217,1789,"#003C67FF"
79833,977,"#0073C2FF"
70867,977,"#0073C2FF"
79834,977,"#0073C2FF"
79835,977,"#0073C2FF"
79836,1407,"#3B3B3BFF"
4577,1750,"#7AA6DCFF"
79838,977,"#0073C2FF"
79839,2725,"white"
79841,1750,"#7AA6DCFF"
3336,903,"#868686FF"
79843,861,"white"
21805,418,"#EFC000FF"
79845,2368,"white"
9116,1789,"#003C67FF"
79846,977,"#0073C2FF"
79847,977,"#0073C2FF"
54600,1750,"#7AA6DCFF"
79849,918,"white"
57698,265,"white"
10086,1789,"#003C67FF"
79852,1346,"#8F7700FF"
10237,977,"#0073C2FF"
79856,977,"#0073C2FF"
79857,903,"#868686FF"
69178,1346,"#8F7700FF"
79858,977,"#0073C2FF"
57699,1306,"#CD534CFF"
13195,1407,"#3B3B3BFF"
79859,1750,"#7AA6DCFF"
10388,977,"#0073C2FF"
79860,977,"#0073C2FF"
31902,418,"#EFC000FF"
56335,977,"#0073C2FF"
64915,1306,"#CD534CFF"
79861,1346,"#8F7700FF"
79862,918,"white"
32506,1750,"#7AA6DCFF"
79864,1750,"#7AA6DCFF"
8688,977,"#0073C2FF"
9838,903,"#868686FF"
76392,2726,"white"
21806,418,"#EFC000FF"
21807,418,"#EFC000FF"
79870,2727,"white"
79872,977,"#0073C2FF"
10785,1750,"#7AA6DCFF"
64916,1306,"#CD534CFF"
30141,977,"#0073C2FF"
57700,418,"#EFC000FF"
31903,418,"#EFC000FF"
57701,418,"#EFC000FF"
36755,903,"#868686FF"
79875,977,"#0073C2FF"
79876,977,"#0073C2FF"
13367,903,"#868686FF"
79877,977,"#0073C2FF"
68964,977,"#0073C2FF"
79879,903,"#868686FF"
79880,977,"#0073C2FF"
79881,1750,"#7AA6DCFF"
79883,1306,"#CD534CFF"
20012,418,"#EFC000FF"
79888,903,"#868686FF"
8022,977,"#0073C2FF"
44263,903,"#868686FF"
79889,403,"white"
79890,1306,"#CD534CFF"
35411,903,"#868686FF"
79891,283,"white"
28538,977,"#0073C2FF"
79892,1750,"#7AA6DCFF"
79894,1750,"#7AA6DCFF"
15931,977,"#0073C2FF"
79895,1407,"#3B3B3BFF"
34050,903,"#868686FF"
79896,977,"#0073C2FF"
79897,977,"#0073C2FF"
71370,977,"#0073C2FF"
31904,1789,"#003C67FF"
21810,1789,"#003C67FF"
42388,1789,"#003C67FF"
79899,977,"#0073C2FF"
21812,418,"#EFC000FF"
79900,977,"#0073C2FF"
21813,418,"#EFC000FF"
47665,1789,"#003C67FF"
1318,1750,"#7AA6DCFF"
80404,977,"#0073C2FF"
80405,977,"#0073C2FF"
47024,1306,"#CD534CFF"
80406,1306,"#CD534CFF"
80407,1306,"#CD534CFF"
67927,1789,"#003C67FF"
80409,977,"#0073C2FF"
12586,1789,"#003C67FF"
21814,418,"#EFC000FF"
21815,418,"#EFC000FF"
80411,2390,"white"
57704,1789,"#003C67FF"
3854,1789,"#003C67FF"
80415,977,"#0073C2FF"
80416,2728,"white"
2870,1789,"#003C67FF"
29218,1789,"#003C67FF"
21817,418,"#EFC000FF"
80419,977,"#0073C2FF"
13900,1789,"#003C67FF"
69393,1789,"#003C67FF"
21818,418,"#EFC000FF"
21819,418,"#EFC000FF"
80421,977,"#0073C2FF"
80422,1209,"white"
21820,1789,"#003C67FF"
77159,977,"#0073C2FF"
28666,977,"#0073C2FF"
80425,977,"#0073C2FF"
18174,1789,"#003C67FF"
44144,1789,"#003C67FF"
34051,1789,"#003C67FF"
80426,977,"#0073C2FF"
80427,646,"white"
57705,418,"#EFC000FF"
80428,1572,"white"
29605,1750,"#7AA6DCFF"
12587,1789,"#003C67FF"
76299,1789,"#003C67FF"
80429,418,"#EFC000FF"
8024,977,"#0073C2FF"
15468,1789,"#003C67FF"
31905,418,"#EFC000FF"
42945,1789,"#003C67FF"
12264,1789,"#003C67FF"
80434,977,"#0073C2FF"
80435,418,"#EFC000FF"
43045,1789,"#003C67FF"
31906,1789,"#003C67FF"
45996,1789,"#003C67FF"
80436,1789,"#003C67FF"
31907,418,"#EFC000FF"
80437,977,"#0073C2FF"
70868,977,"#0073C2FF"
19126,1789,"#003C67FF"
80439,977,"#0073C2FF"
80440,1185,"#4A6990FF"
8689,977,"#0073C2FF"
65322,2729,"white"
10389,418,"#EFC000FF"
79522,928,"white"
80454,1789,"#003C67FF"
18175,1789,"#003C67FF"
21825,418,"#EFC000FF"
80455,977,"#0073C2FF"
80456,1789,"#003C67FF"
27698,1346,"#8F7700FF"
80458,977,"#0073C2FF"
33203,1346,"#8F7700FF"
80459,1789,"#003C67FF"
80460,977,"#0073C2FF"
21826,418,"#EFC000FF"
80461,977,"#0073C2FF"
12588,1789,"#003C67FF"
67110,977,"#0073C2FF"
31908,1789,"#003C67FF"
26175,977,"#0073C2FF"
48679,1789,"#003C67FF"
21827,418,"#EFC000FF"
80462,284,"white"
16717,1789,"#003C67FF"
52606,1789,"#003C67FF"
8690,977,"#0073C2FF"
80465,977,"#0073C2FF"
2671,977,"#0073C2FF"
80467,977,"#0073C2FF"
34161,1789,"#003C67FF"
80468,1789,"#003C67FF"
50371,977,"#0073C2FF"
51805,418,"#EFC000FF"
80469,928,"white"
21829,418,"#EFC000FF"
80470,977,"#0073C2FF"
67111,977,"#0073C2FF"
11194,1789,"#003C67FF"
80476,1750,"#7AA6DCFF"
80477,977,"#0073C2FF"
27843,977,"#0073C2FF"
33019,977,"#0073C2FF"
71371,977,"#0073C2FF"
68628,1789,"#003C67FF"
80478,977,"#0073C2FF"
80479,977,"#0073C2FF"
9117,1789,"#003C67FF"
80481,977,"#0073C2FF"
31074,1789,"#003C67FF"
80482,977,"#0073C2FF"
80483,977,"#0073C2FF"
21830,418,"#EFC000FF"
78561,285,"white"
80485,418,"#EFC000FF"
80486,2730,"white"
80488,418,"#EFC000FF"
80489,1609,"white"
21831,418,"#EFC000FF"
36763,977,"#0073C2FF"
42946,1789,"#003C67FF"
18177,1789,"#003C67FF"
43046,1789,"#003C67FF"
80490,977,"#0073C2FF"
80491,977,"#0073C2FF"
21832,418,"#EFC000FF"
80492,1789,"#003C67FF"
10034,977,"#0073C2FF"
80493,3163,"white"
80494,2731,"white"
16510,903,"#868686FF"
29220,1789,"#003C67FF"
80496,977,"#0073C2FF"
4275,903,"#868686FF"
80498,977,"#0073C2FF"
57708,418,"#EFC000FF"
21833,418,"#EFC000FF"
80499,977,"#0073C2FF"
31909,1789,"#003C67FF"
29222,1789,"#003C67FF"
12590,1789,"#003C67FF"
29223,1789,"#003C67FF"
7323,977,"#0073C2FF"
21835,418,"#EFC000FF"
17755,903,"#868686FF"
36764,903,"#868686FF"
21836,1789,"#003C67FF"
21837,418,"#EFC000FF"
80500,977,"#0073C2FF"
1483,977,"#0073C2FF"
21838,418,"#EFC000FF"
28667,977,"#0073C2FF"
36765,903,"#868686FF"
80501,977,"#0073C2FF"
36766,903,"#868686FF"
33637,1750,"#7AA6DCFF"
80611,2732,"white"
79418,418,"#EFC000FF"
21839,418,"#EFC000FF"
41798,977,"#0073C2FF"
12017,1306,"#CD534CFF"
31910,1789,"#003C67FF"
2167,1789,"#003C67FF"
80614,977,"#0073C2FF"
80615,998,"white"
12591,1789,"#003C67FF"
30138,1407,"#3B3B3BFF"
18178,1789,"#003C67FF"
80618,1306,"#CD534CFF"
80620,1076,"white"
45629,1750,"#7AA6DCFF"
12265,1789,"#003C67FF"
2168,977,"#0073C2FF"
6634,1789,"#003C67FF"
80623,1789,"#003C67FF"
68965,977,"#0073C2FF"
55197,1789,"#003C67FF"
6317,418,"#EFC000FF"
8027,1789,"#003C67FF"
21842,418,"#EFC000FF"
31911,418,"#EFC000FF"
80625,1789,"#003C67FF"
80626,977,"#0073C2FF"
18179,1789,"#003C67FF"
35412,903,"#868686FF"
54336,418,"#EFC000FF"
80629,1789,"#003C67FF"
18180,1789,"#003C67FF"
80630,1789,"#003C67FF"
80631,977,"#0073C2FF"
80632,1346,"#8F7700FF"
80633,418,"#EFC000FF"
8030,977,"#0073C2FF"
18181,1789,"#003C67FF"
57709,418,"#EFC000FF"
13036,418,"#EFC000FF"
80635,1789,"#003C67FF"
80636,977,"#0073C2FF"
50372,977,"#0073C2FF"
21843,418,"#EFC000FF"
48572,2686,"white"
44114,1789,"#003C67FF"
80637,977,"#0073C2FF"
80638,1789,"#003C67FF"
10788,903,"#868686FF"
21844,1789,"#003C67FF"
14112,1789,"#003C67FF"
31912,418,"#EFC000FF"
51290,1789,"#003C67FF"
70482,1789,"#003C67FF"
1936,977,"#0073C2FF"
19138,977,"#0073C2FF"
