"","vertex","cluster","color"
"383",8120,445,"#EFC000FF"
"384",8121,445,"#EFC000FF"
"385",8123,116,"#0073C2FF"
"386",8124,445,"#EFC000FF"
"387",8126,165,"#CD534CFF"
"388",8127,607,"white"
"389",8129,488,"#003C67FF"
"390",8131,488,"#003C67FF"
"391",8132,533,"#8F7700FF"
"392",8133,165,"#CD534CFF"
"393",8137,116,"#0073C2FF"
"394",8138,116,"#0073C2FF"
"395",8139,116,"#0073C2FF"
"396",8140,116,"#0073C2FF"
"397",7948,215,"#4A6990FF"
"398",8193,445,"#EFC000FF"
"399",8194,445,"#EFC000FF"
"400",8198,488,"#003C67FF"
"401",8199,445,"#EFC000FF"
"402",8202,116,"#0073C2FF"
"403",8204,445,"#EFC000FF"
"404",8205,608,"white"
"405",1312,165,"#CD534CFF"
"406",8330,116,"#0073C2FF"
"407",8333,445,"#EFC000FF"
"408",8334,116,"#0073C2FF"
"409",8335,445,"#EFC000FF"
"410",8336,609,"white"
"411",8338,445,"#EFC000FF"
"412",8343,1406,"#7AA6DCFF"
"413",8344,165,"#CD534CFF"
"414",8346,116,"#0073C2FF"
"415",8348,182,"#868686FF"
"416",8350,445,"#EFC000FF"
"417",8353,445,"#EFC000FF"
"418",8355,838,"white"
"419",8357,1343,"white"
"420",8360,838,"white"
"421",1263,445,"#EFC000FF"
"422",8364,710,"white"
"423",8366,116,"#0073C2FF"
"424",8367,116,"#0073C2FF"
"425",8368,445,"#EFC000FF"
"426",8369,488,"#003C67FF"
"427",8370,610,"white"
"428",8372,848,"white"
"429",8373,445,"#EFC000FF"
"430",8374,445,"#EFC000FF"
"431",8375,445,"#EFC000FF"
"432",8377,116,"#0073C2FF"
"433",8378,838,"white"
"434",8383,445,"#EFC000FF"
"435",8385,165,"#CD534CFF"
"436",2357,488,"#003C67FF"
"437",8387,445,"#EFC000FF"
"438",2358,1406,"#7AA6DCFF"
"439",8388,445,"#EFC000FF"
"440",8390,488,"#003C67FF"
"441",8394,445,"#EFC000FF"
"442",8439,533,"#8F7700FF"
"443",8441,584,"#3B3B3BFF"
"444",2050,445,"#EFC000FF"
"445",8447,116,"#0073C2FF"
"446",8448,584,"#3B3B3BFF"
"447",8450,165,"#CD534CFF"
"448",8452,182,"#868686FF"
"449",8453,445,"#EFC000FF"
"450",8456,445,"#EFC000FF"
"451",26,1406,"#7AA6DCFF"
"452",8477,533,"#8F7700FF"
"453",8480,584,"#3B3B3BFF"
"454",8481,445,"#EFC000FF"
"455",968,445,"#EFC000FF"
"456",8493,165,"#CD534CFF"
"457",8494,445,"#EFC000FF"
"458",8495,533,"#8F7700FF"
"459",8496,3,"white"
"460",8497,488,"#003C67FF"
